wave_A  EA1_lo_cm2  EA1_hi_cm2
49.408000  4.17819559e-01  5.55505785e-01
49.440000  4.17723139e-01  5.55095950e-01
49.472000  4.17894274e-01  5.54686615e-01
49.504000  4.18125415e-01  5.54277780e-01
49.536000  4.18356037e-01  5.54180214e-01
49.568000  4.18586142e-01  5.54818074e-01
49.600000  4.18803118e-01  5.55389447e-01
49.632000  4.18968342e-01  5.54831491e-01
49.664000  4.19133017e-01  5.54274329e-01
49.696000  4.19297146e-01  5.53717959e-01
49.728000  4.19460728e-01  5.53162379e-01
49.760000  4.19623765e-01  5.52607588e-01
49.792000  4.19786259e-01  5.52053584e-01
49.824000  4.19948209e-01  5.51500364e-01
49.856000  4.20109618e-01  5.50947928e-01
49.888000  4.20270485e-01  5.50396273e-01
49.920000  4.20430813e-01  5.49845398e-01
49.952000  4.20590603e-01  5.49295301e-01
49.984000  4.20749855e-01  5.48745980e-01
50.016000  4.20876068e-01  5.48155103e-01
50.048000  4.20969114e-01  5.47522674e-01
50.080000  4.21061563e-01  5.46891165e-01
50.112000  4.21153416e-01  5.46260577e-01
50.144000  4.21244673e-01  5.45630907e-01
50.176000  4.21335338e-01  5.45002152e-01
50.208000  4.26065070e-01  5.44374312e-01
50.240000  4.32740522e-01  5.43747383e-01
50.272000  4.30560825e-01  5.43121363e-01
50.304000  4.26911969e-01  5.42496252e-01
50.336000  4.26399160e-01  5.41872047e-01
50.368000  4.25887110e-01  5.41248745e-01
50.400000  4.25375820e-01  5.40626345e-01
50.432000  4.24864035e-01  5.40003255e-01
50.464000  4.24353003e-01  5.39381060e-01
50.496000  4.23842726e-01  5.38759762e-01
50.528000  4.23333203e-01  5.38139360e-01
50.560000  4.22824430e-01  5.37519851e-01
50.592000  4.22316408e-01  5.36901234e-01
50.624000  4.21809134e-01  5.36283506e-01
50.656000  4.21302606e-01  5.35666666e-01
50.688000  4.20796824e-01  5.35050711e-01
50.720000  4.20291785e-01  5.34435640e-01
50.752000  4.19787487e-01  5.33821451e-01
50.784000  4.19283930e-01  5.33208141e-01
50.816000  4.18781054e-01  5.32595638e-01
50.848000  4.18278324e-01  5.31983258e-01
50.880000  4.17776330e-01  5.31371753e-01
50.912000  4.17275071e-01  5.30761122e-01
50.944000  4.16774545e-01  5.30151363e-01
50.976000  4.16274751e-01  5.29542473e-01
51.008000  4.15768839e-01  5.28925739e-01
51.040000  4.15243144e-01  5.28283776e-01
51.072000  4.14718228e-01  5.27642740e-01
51.104000  4.14194090e-01  5.27002628e-01
51.136000  4.13670726e-01  5.26363439e-01
51.168000  4.13148137e-01  5.25725170e-01
51.200000  4.12626319e-01  5.25087820e-01
51.232000  4.12105272e-01  5.24451387e-01
