wave_A  modfactor_lo  modfactor_hi
45.952000  0.94797600  0.92421440
45.984000  0.94799200  0.92420480
46.016000  0.94800800  0.92419520
46.048000  0.94802400  0.92418560
46.080000  0.94804000  0.92417600
46.112000  0.94805600  0.92416640
46.144000  0.94807200  0.92415680
46.176000  0.94808800  0.92414720
46.208000  0.94810400  0.92413760
46.240000  0.94812000  0.92412800
46.272000  0.94813600  0.92411840
46.304000  0.94815200  0.92410880
46.336000  0.94816800  0.92409920
46.368000  0.94818400  0.92408960
46.400000  0.94820000  0.92408000
46.432000  0.94821600  0.92407040
46.464000  0.94823200  0.92406080
46.496000  0.94824800  0.92405120
46.528000  0.94826400  0.92404160
46.560000  0.94828000  0.92403200
46.592000  0.94829600  0.92402240
46.624000  0.94831200  0.92401280
46.656000  0.94832800  0.92400320
46.688000  0.94834400  0.92399360
46.720000  0.94836000  0.92398400
46.752000  0.94837600  0.92397440
46.784000  0.94839200  0.92396480
46.816000  0.94840800  0.92395520
46.848000  0.94842400  0.92394560
46.880000  0.94844000  0.92393600
46.912000  0.94845600  0.92392640
46.944000  0.94847200  0.92391680
46.976000  0.94848800  0.92390720
47.008000  0.94850400  0.92389760
47.040000  0.94852000  0.92388800
47.072000  0.94853600  0.92387840
47.104000  0.94855200  0.92386880
47.136000  0.94856800  0.92385920
47.168000  0.94858400  0.92384960
47.200000  0.94860000  0.92384000
47.232000  0.94861600  0.92383040
47.264000  0.94863200  0.92382080
47.296000  0.94864800  0.92381120
47.328000  0.94866400  0.92380160
47.360000  0.94868000  0.92379200
47.392000  0.94869600  0.92378240
47.424000  0.94871200  0.92377280
47.456000  0.94872800  0.92376320
47.488000  0.94874400  0.92375360
47.520000  0.94876000  0.92374400
47.552000  0.94877600  0.92373440
47.584000  0.94879200  0.92372480
47.616000  0.94880800  0.92371520
47.648000  0.94882400  0.92370560
47.680000  0.94884000  0.92369600
47.712000  0.94885600  0.92368640
47.744000  0.94887200  0.92367680
47.776000  0.94888800  0.92366720
47.808000  0.94890400  0.92365760
47.840000  0.94892000  0.92364800
47.872000  0.94893600  0.92363840
47.904000  0.94895200  0.92362880
47.936000  0.94896800  0.92361920
47.968000  0.94898400  0.92360960
48.000000  0.94900000  0.92360000
48.032000  0.94901600  0.92359040
48.064000  0.94903200  0.92358080
48.096000  0.94904800  0.92357120
48.128000  0.94906400  0.92356160
48.160000  0.94908000  0.92355200
48.192000  0.94909600  0.92354240
48.224000  0.94911200  0.92353280
48.256000  0.94912800  0.92352320
48.288000  0.94914400  0.92351360
48.320000  0.94916000  0.92350400
48.352000  0.94917600  0.92349440
48.384000  0.94919200  0.92348480
48.416000  0.94920800  0.92347520
48.448000  0.94922400  0.92346560
48.480000  0.94924000  0.92345600
48.512000  0.94925600  0.92344640
48.544000  0.94927200  0.92343680
48.576000  0.94928800  0.92342720
48.608000  0.94930400  0.92341760
48.640000  0.94932000  0.92340800
48.672000  0.94933600  0.92339840
48.704000  0.94935200  0.92338880
48.736000  0.94936800  0.92337920
48.768000  0.94938400  0.92336960
48.800000  0.94940000  0.92336000
48.832000  0.94941600  0.92335040
48.864000  0.94943200  0.92334080
48.896000  0.94944800  0.92333120
48.928000  0.94946400  0.92332160
48.960000  0.94948000  0.92331200
48.992000  0.94949600  0.92330240
49.024000  0.94951200  0.92329280
49.056000  0.94952800  0.92328320
49.088000  0.94954400  0.92327360
49.120000  0.94956000  0.92326400
49.152000  0.94957600  0.92325440
49.184000  0.94959200  0.92324480
49.216000  0.94960800  0.92323520
49.248000  0.94962400  0.92322560
49.280000  0.94964000  0.92321600
49.312000  0.94965600  0.92320640
49.344000  0.94967200  0.92319680
49.376000  0.94968800  0.92318720
49.408000  0.94970400  0.92317760
49.440000  0.94972000  0.92316800
49.472000  0.94973600  0.92315840
49.504000  0.94975200  0.92314880
49.536000  0.94976800  0.92313920
49.568000  0.94978400  0.92312960
49.600000  0.94980000  0.92312000
49.632000  0.94981600  0.92311040
49.664000  0.94983200  0.92310080
49.696000  0.94984800  0.92309120
49.728000  0.94986400  0.92308160
49.760000  0.94988000  0.92307200
49.792000  0.94989600  0.92306240
49.824000  0.94991200  0.92305280
49.856000  0.94992800  0.92304320
49.888000  0.94994400  0.92303360
49.920000  0.94996000  0.92302400
49.952000  0.94997600  0.92301440
49.984000  0.94999200  0.92300480
50.016000  0.95000800  0.92299520
50.048000  0.95002400  0.92298560
50.080000  0.95004000  0.92297600
50.112000  0.95005600  0.92296640
50.144000  0.95007200  0.92295680
50.176000  0.95008800  0.92294720
50.208000  0.95010400  0.92293760
50.240000  0.95012000  0.92292800
50.272000  0.95013600  0.92291840
50.304000  0.95015200  0.92290880
50.336000  0.95016800  0.92289920
50.368000  0.95018400  0.92288960
50.400000  0.95020000  0.92288000
50.432000  0.95021600  0.92287040
50.464000  0.95023200  0.92286080
50.496000  0.95024800  0.92285120
50.528000  0.95026400  0.92284160
50.560000  0.95028000  0.92283200
50.592000  0.95029600  0.92282240
50.624000  0.95031200  0.92281280
50.656000  0.95032800  0.92280320
50.688000  0.95034400  0.92279360
50.720000  0.95036000  0.92278400
50.752000  0.95037600  0.92277440
50.784000  0.95039200  0.92276480
50.816000  0.95040800  0.92275520
50.848000  0.95042400  0.92274560
50.880000  0.95044000  0.92273600
50.912000  0.95045600  0.92272640
50.944000  0.95047200  0.92271680
50.976000  0.95048800  0.92270720
51.008000  0.95050400  0.92269760
51.040000  0.95052000  0.92268800
51.072000  0.95053600  0.92267840
51.104000  0.95055200  0.92266880
51.136000  0.95056800  0.92265920
51.168000  0.95058400  0.92264960
51.200000  0.95060000  0.92264000
51.232000  0.95061600  0.92263040
51.264000  0.95063200  0.92262080
51.296000  0.95064800  0.92261120
51.328000  0.95066400  0.92260160
51.360000  0.95068000  0.92259200
51.392000  0.95069600  0.92258240
51.424000  0.95071200  0.92257280
51.456000  0.95072800  0.92256320
51.488000  0.95074400  0.92255360
51.520000  0.95076000  0.92254400
51.552000  0.95077600  0.92253440
51.584000  0.95079200  0.92252480
51.616000  0.95080800  0.92251520
51.648000  0.95082400  0.92250560
51.680000  0.95084000  0.92249600
51.712000  0.95085600  0.92248640
51.744000  0.95087200  0.92247680
51.776000  0.95088800  0.92246720
51.808000  0.95090400  0.92245760
51.840000  0.95092000  0.92244800
51.872000  0.95093600  0.92243840
51.904000  0.95095200  0.92242880
